artist,song_name,quarterly_date,n_streams
Drake,Teenage Fever,2017 Q1,3043219
Drake,4422,2017 Q1,3035199
Luis Fonsi,Despacito (Featuring Daddy Yankee),2017 Q1,3026950
Drake,Free Smoke,2017 Q1,3022252
The xx,On Hold,2017 Q1,2971788
Chris Brown,Party (feat. Usher & Gucci Mane),2017 Q1,2963840
Not3s,Addison Lee (Peng Ting Called Maddison),2017 Q1,2942430
J Hus,Did You See,2017 Q1,2914097
Post Malone,Congratulations,2017 Q1,2905875
Stormzy,First Things First,2017 Q1,2851425
Martin Solveig,Places,2017 Q1,2841957
gnash,"i hate u, i love u (feat. olivia o'brien)",2017 Q1,2834182
Kanye West,Gold Digger,2017 Q1,2829164
Drake,Jorja Interlude,2017 Q1,2826490
Alessia Cara,Scars To Your Beautiful,2017 Q1,2814958
Train,Play That Song,2017 Q1,2721456
Sia,Cheap Thrills,2017 Q1,2695753
Adele,When We Were Young,2017 Q1,2681274
Coldplay,Adventure of a Lifetime,2017 Q1,2662204
Cashmere Cat,Trust Nobody (feat. Selena Gomez & Tory Lanez),2017 Q1,2653172
Rihanna,Needed Me,2017 Q1,2650996
Ryan Gosling,"City Of Stars - From ""La La Land"" Soundtrack",2017 Q1,2646405
JAY-Z,Ni**as In Paris,2017 Q1,2625853
Jax Jones,House Work,2017 Q1,2603175
Red Hot Chili Peppers,Can't Stop,2017 Q1,2593599
Coldplay,Everglow,2017 Q1,2550031
Adele,Send My Love (To Your New Lover),2017 Q1,2548226
DJ Khaled,Shining (feat. Beyoncé & Jay-Z),2017 Q1,2490610
Drake,Sacrifices,2017 Q1,2458451
Justin Bieber,What Do You Mean?,2017 Q1,2456147
Shelley FKA DRAM,Broccoli (feat. Lil Yachty),2017 Q1,2450296
The Weeknd,Reminder,2017 Q1,2449203
James TW,When You Love Someone,2017 Q1,2405956
Kris Kross Amsterdam,Are You Sure? (feat. Ty Dolla $ign),2017 Q1,2405261
Drake,Sneakin’,2017 Q1,2388687
Fifth Harmony,That's My Girl,2017 Q1,2385783
Scouting For Girls,She's So Lovely,2017 Q1,2359766
Sigma,Find Me,2017 Q1,2351724
Anne-Marie,Alarm,2017 Q1,2336760
Imagine Dragons,Radioactive,2017 Q1,2333080
Noah Cyrus,Make Me (Cry),2017 Q1,2320723
Desiigner,Panda,2017 Q1,2317290
Chance the Rapper,All Night (feat. Knox Fortune),2017 Q1,2231574
Twenty One Pilots,Ride,2017 Q1,2201613
Zara Larsson,Ain't My Fault,2017 Q1,2190488
Andy Grammer,Fresh Eyes,2017 Q1,2187593
John Gibbons,Would I Lie to You,2017 Q1,2179674
Drake,Lose You,2017 Q1,2170440
Alan Walker,Faded,2017 Q1,2147917
Migos,T-Shirt,2017 Q1,2144383
Sia,Cheap Thrills (feat. Sean Paul),2017 Q1,2110317
Drake,Do Not Disturb,2017 Q1,2091802
Ed Sheeran,Shape of You - Acoustic,2017 Q1,2049024
Future,Selfish (feat. Rihanna),2017 Q1,2047544
Shakira,Chantaje (feat. Maluma),2017 Q1,2039018
Drake,Glow,2017 Q1,2000326
