artist,song_name,quarterly_date,n_streams,genre,Genre_Group
Andy Williams,It's the Most Wonderful Time of the Year,2016 Q4,1472947.0,Swing,Swing
The Chainsmokers,Closer,2016 Q4,1411852.0,House,Dance/House
Bruno Mars,24K Magic,2016 Q4,1391745.0,Pop,Pop
Band Aid,Do They Know It's Christmas? - 1984 Version,2016 Q4,1342309.0,Christmas,Christmas
Michael Bublé,It's Beginning to Look a Lot like Christmas,2016 Q4,1336880.0,Swing,Swing
The Weeknd,I Feel It Coming,2016 Q4,1313456.0,R&B,R&B
Drake,Fake Love,2016 Q4,1298141.0,Rap,Rap/Hip-Hop
Little Mix,Shout Out to My Ex,2016 Q4,1274129.0,Pop,Pop
Wizzard,I Wish It Could Be Christmas Everyday,2016 Q4,1258496.0,Christmas,Christmas
The Vamps,All Night,2016 Q4,1249782.0,Pop,Pop
ZAYN,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",2016 Q4,1243523.0,Pop,Pop
Rag'n'Bone Man,Human,2016 Q4,1237304.0,Hip-Hop,Rap/Hip-Hop
Elton John,Step Into Christmas,2016 Q4,1225419.0,Pop,Pop
Nevada,The Mack,2016 Q4,1214257.0,House,Dance/House
Jonas Blue,By Your Side,2016 Q4,1196978.0,House,Dance/House
Paul McCartney,Wonderful Christmastime - Remastered 2011 / Edited Version,2016 Q4,1127497.0,Christmas,Christmas
Starley,Call On Me - Ryan Riback Extended Remix,2016 Q4,1115166.0,Electronic,Electronic
Slade,Merry Xmas Everybody,2016 Q4,1112023.0,Rock,Rock/Punk/Metal
Drake,One Dance,2016 Q4,1087214.0,Rap,Rap/Hip-Hop
Bing Crosby,White Christmas,2016 Q4,1077674.0,Pop,Pop
Brenda Lee,Rockin' Around The Christmas Tree - Single Version,2016 Q4,1066321.0,Christmas,Christmas
Sia,The Greatest,2016 Q4,1065247.0,Indie,Indie
John Lennon,Happy Xmas (War Is Over) - Remastered 2010,2016 Q4,1039049.0,Christmas,Christmas
Major Lazer,Cold Water (feat. Justin Bieber & MØ),2016 Q4,1035005.0,Edm,Electronic
Boney M.,Mary's Boy Child / Oh My Lord,2016 Q4,1033984.0,Disco,Disco
Hailee Steinfeld,Starving,2016 Q4,991885.0,Pop,Pop
Matt Terry,When Christmas Comes Around,2016 Q4,975274.0,Pop,Pop
Shawn Mendes,Mercy,2016 Q4,958439.0,Pop,Pop
DJ Snake,Let Me Love You,2016 Q4,951780.0,Electronic,Electronic
Bobby Helms,Jingle Bell Rock,2016 Q4,951774.0,Christmas,Christmas
Eartha Kitt,Santa Baby (with Henri René & His Orchestra),2016 Q4,939901.0,Christmas,Christmas
Ariana Grande,Side To Side,2016 Q4,936287.0,Pop,Pop
Tom Zanetti,You Want Me (feat. Sadie Ama),2016 Q4,923987.0,House,Dance/House
Phil Spector,Sleigh Ride,2016 Q4,915232.0,Rock,Rock/Punk/Metal
Mud,Lonely This Christmas,2016 Q4,857022.0,Metal,Rock/Punk/Metal
John Legend,Love Me Now,2016 Q4,849027.0,R&B,R&B
Adele,Water Under the Bridge,2016 Q4,845748.0,Soft Pop,Pop
Jona Lewie,Stop the Cavalry,2016 Q4,830002.0,Christmas,Christmas
Galantis,Love on Me,2016 Q4,827233.0,Electronic,Electronic
Louisa,So Good,2016 Q4,806657.0,Unknown,Unknown
Darlene Love,Christmas (Baby Please Come Home),2016 Q4,803015.0,Christmas,Christmas
José Feliciano,Feliz Navidad,2016 Q4,770508.0,Pop,Pop
Sage The Gemini,Now and Later,2016 Q4,766640.0,Hip-Hop,Rap/Hip-Hop
Pretenders,2000 Miles - 2007 Remaster,2016 Q4,753723.0,Rock,Rock/Punk/Metal
Elvis Presley,Blue Christmas,2016 Q4,724943.0,Rock,Rock/Punk/Metal
Frank Sinatra,Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet),2016 Q4,717612.0,Christmas,Christmas
Calvin Harris,My Way,2016 Q4,713158.0,Electronic,Electronic
Greg Lake,I Believe in Father Christmas,2016 Q4,706876.0,Christmas,Christmas
Nat King Cole,The Christmas Song (Merry Christmas To You),2016 Q4,691943.0,Jazz,Jazz
Charli XCX,After the Afterparty (feat. Lil Yachty),2016 Q4,682186.0,Pop,Pop
Kylie Minogue,Santa Baby,2016 Q4,664743.0,Dance,Dance/House
Martin Garrix,In the Name of Love,2016 Q4,651837.0,Electronic,Electronic
The Chainsmokers,All We Know,2016 Q4,630068.0,Pop,Pop
Coldplay,Christmas Lights - Live from Spotify London,2016 Q4,629000.0,Christmas,Christmas
Mykola Dmytrovych Leontovych,Carol of the Bells,2016 Q4,610656.0,Christmas,Christmas
Bruce Springsteen,"Santa Claus Is Comin' to Town - Live at C.W. Post College, Greenvale, NY - December 1975",2016 Q4,608446.0,Christmas,Christmas
Shawn Mendes,Treat You Better,2016 Q4,606118.0,Pop,Pop
East 17,Stay Another Day,2016 Q4,605912.0,Hip-Hop,Rap/Hip-Hop
Kelly Clarkson,Underneath the Tree,2016 Q4,603096.0,Pop,Pop
JP Cooper,September Song,2016 Q4,596816.0,Pop,Pop
J. Cole,Deja Vu,2016 Q4,596580.0,Rap,Rap/Hip-Hop
The Chainsmokers,Don't Let Me Down (feat. Daya),2016 Q4,596545.0,Electronic,Electronic
Twenty One Pilots,Heathens,2016 Q4,576324.0,Rock,Rock/Punk/Metal
George Michael,Faith - Remastered,2016 Q4,574295.0,Pop,Pop
Drake,Too Good,2016 Q4,560976.0,Rap,Rap/Hip-Hop
Drake,Controlla,2016 Q4,559332.0,Rap,Rap/Hip-Hop
Robin Schulz,Shed a Light,2016 Q4,558060.0,House,Dance/House
Justin Timberlake,"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")",2016 Q4,554894.0,Pop,Pop
Machine Gun Kelly,Bad Things (with Camila Cabello),2016 Q4,553369.0,Pop,Pop
The Weeknd,Party Monster,2016 Q4,548402.0,R&B,R&B
Sam Smith,Have Yourself A Merry Little Christmas,2016 Q4,539897.0,Soul,Soul
Ariana Grande,Santa Tell Me,2016 Q4,533469.0,Pop,Pop
MiC LOWRY,Oh Lord,2016 Q4,524141.0,Indie,Indie
Mura Masa,Love$ick (feat. A$AP Rocky),2016 Q4,516578.0,Hip-Hop,Rap/Hip-Hop
Michael Bublé,Holly Jolly Christmas,2016 Q4,516541.0,Swing,Swing
Justin Bieber,Mistletoe,2016 Q4,510739.0,Pop,Pop
Sean Paul,No Lie,2016 Q4,510061.0,Reggae,Reggae
Michael Bublé,All I Want for Christmas Is You,2016 Q4,508192.0,Swing,Swing
Mel Tormé,The Christmas Song (Chestnuts Roasting On an Open Fire),2016 Q4,500724.0,Jazz,Jazz
Michael Bublé,White Christmas (with Shania Twain),2016 Q4,496587.0,Christmas,Christmas
George Michael,Careless Whisper,2016 Q4,493960.0,Pop,Pop
Gladys Knight & The Pips,When a Child Is Born (Soleado) (feat. Johnny Mathis),2016 Q4,481892.0,Soul,Soul
Perry Como,It's Beginning to Look a Lot Like Christmas (with Mitchell Ayres & His Orchestra),2016 Q4,475570.0,Christmas,Christmas
Destiny's Child,8 Days of Christmas,2016 Q4,474461.0,R&B,R&B
The Beach Boys,Little Saint Nick - 1991 Remix,2016 Q4,472598.0,Pop,Pop
Michael Bublé,Cold December Night,2016 Q4,471232.0,Swing,Swing
Jax Jones,You Don't Know Me - Radio Edit,2016 Q4,468210.0,Dance,Dance/House
Michael Bublé,Santa Claus Is Coming to Town,2016 Q4,467983.0,Swing,Swing
Chuck Berry,Run Rudolph Run - Single Version,2016 Q4,461966.0,Rock,Rock/Punk/Metal
Idina Menzel,Baby It's Cold Outside (duet with Michael Bublé),2016 Q4,460403.0,Musicals,Musicals
Calum Scott,Dancing On My Own,2016 Q4,446249.0,Soft Pop,Pop
The Ronettes,Frosty the Snowman,2016 Q4,443755.0,Christmas,Christmas
Justin Bieber,Sorry,2016 Q4,443194.0,Pop,Pop
Lily Allen,Somewhere Only We Know,2016 Q4,436884.0,Pop,Pop
The Killers,Mr. Brightside,2016 Q4,436311.0,Indie,Indie
Mike Oldfield,In Dulce Jubilo,2016 Q4,430541.0,Rock,Rock/Punk/Metal
Cashmere Cat,Trust Nobody (feat. Selena Gomez & Tory Lanez),2016 Q4,428427.0,House,Dance/House
Mike Posner,I Took A Pill In Ibiza - Seeb Remix,2016 Q4,426053.0,House,Dance/House
Michael Bublé,Jingle Bells (feat. The Puppini Sisters),2016 Q4,421787.0,Christmas,Christmas
Little Mix,Oops,2016 Q4,417636.0,Pop,Pop
Justin Bieber,Love Yourself,2016 Q4,415183.0,Pop,Pop
Daryl Hall & John Oates,Jingle Bell Rock - Daryl's Version,2016 Q4,414825.0,Rock,Rock/Punk/Metal
Calvin Harris,This Is What You Came For (feat. Rihanna),2016 Q4,413843.0,Edm,Electronic
Coldplay,Christmas Lights,2016 Q4,404005.0,Christmas,Christmas
Michael Bublé,Christmas (Baby Please Come Home),2016 Q4,402600.0,Swing,Swing
Aled Jones,Walking in the Air,2016 Q4,394666.0,Christmas,Christmas
Sigma,Find Me,2016 Q4,394410.0,Edm,Electronic
Dua Lipa,Blow Your Mind (Mwah),2016 Q4,393297.0,Pop,Pop
Jonas Blue,Perfect Strangers,2016 Q4,392878.0,House,Dance/House
Alessia Cara,"How Far I'll Go - From ""Moana""",2016 Q4,391955.0,Soundtrack,Soundtrack
Cliff Richard,Mistletoe and Wine,2016 Q4,389068.0,Pop,Pop
Lil Wayne,"Sucker for Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)",2016 Q4,384860.0,Rap,Rap/Hip-Hop
Dean Martin,Let It Snow! Let It Snow! Let It Snow!,2016 Q4,379377.0,Pop,Pop
Christina Aguilera,Have Yourself a Merry Little Christmas,2016 Q4,378460.0,Pop,Pop
Lukas Graham,7 Years,2016 Q4,378045.0,Funk,Funk
Leona Lewis,One More Sleep,2016 Q4,374932.0,Pop,Pop
The Jackson 5,Santa Claus Is Coming To Town,2016 Q4,374638.0,Soul,Soul
