artist,song_name,quarterly_date,n_streams,genre,Genre_Group
Hugh Jackman,The Greatest Show,2018 Q3,8565505.0,Musicals,Musicals
Dean Lewis,Be Alright,2018 Q3,8215370.0,Pop,Pop
Marshmello,FRIENDS,2018 Q3,8025023.0,Electronic,Electronic
Drake,Nonstop,2018 Q3,7968138.0,Rap,Rap/Hip-Hop
Zac Efron,Rewrite The Stars,2018 Q3,7802142.0,Musicals,Musicals
Ed Sheeran,Shape of You,2018 Q3,7710795.0,Pop,Pop
Lil Dicky,Freaky Friday (feat. Chris Brown),2018 Q3,7660859.0,Rap,Rap/Hip-Hop
BlocBoy JB,Look Alive (feat. Drake),2018 Q3,7590287.0,Rap,Rap/Hip-Hop
Anne-Marie,2002,2018 Q3,7540755.0,Pop,Pop
MK,17,2018 Q3,7525359.0,House,Dance/House
Ziv Zaifman,A Million Dreams,2018 Q3,7511266.0,Musicals,Musicals
Steel Banglez,Your Lovin' (feat. MØ & Yxng Bane),2018 Q3,7403717.0,Swing,Swing
The Killers,Mr. Brightside,2018 Q3,7396171.0,Indie,Indie
Khalid,Love Lies (with Normani),2018 Q3,7296829.0,R&B,R&B
Geko,6:30,2018 Q3,7228966.0,Swing,Swing
Camila Cabello,Havana (feat. Young Thug),2018 Q3,7205195.0,Pop,Pop
Dua Lipa,New Rules,2018 Q3,7119751.0,Pop,Pop
Eminem,The Ringer,2018 Q3,7112567.0,Rap,Rap/Hip-Hop
Loren Allred,Never Enough,2018 Q3,6797925.0,Soundtrack,Soundtrack
Portugal. The Man,Feel It Still,2018 Q3,6790818.0,Rock,Rock/Punk/Metal
Jess Glynne,All I Am,2018 Q3,6698220.0,Pop,Pop
Nicki Minaj,Bed (feat. Ariana Grande),2018 Q3,6654762.0,Pop,Pop
Travis Scott,STARGAZING,2018 Q3,6522233.0,Rap,Rap/Hip-Hop
Ariana Grande,no tears left to cry,2018 Q3,6510440.0,Pop,Pop
Hugh Jackman,The Other Side,2018 Q3,6455332.0,Musicals,Musicals
Stay Flee Get Lizzy,Ay Caramba,2018 Q3,6385976.0,Grime,Electronic
Silk City,Electricity (with Dua Lipa),2018 Q3,6358189.0,Electronic,Electronic
Kygo,Born To Be Yours,2018 Q3,6344328.0,House,Dance/House
Dua Lipa,IDGAF,2018 Q3,6275420.0,Pop,Pop
Post Malone,I Fall Apart,2018 Q3,6253032.0,Hip-Hop,Rap/Hip-Hop
XXXTENTACION,Fuck Love (feat. Trippie Redd),2018 Q3,6138851.0,Rock,Rock/Punk/Metal
Drake,God's Plan,2018 Q3,6106581.0,Hip-Hop,Rap/Hip-Hop
Bebe Rexha,Meant to Be (feat. Florida Georgia Line),2018 Q3,5959432.0,Pop,Pop
Yxng Bane,Vroom,2018 Q3,5921865.0,Swing,Swing
Eminem,Fall,2018 Q3,5876680.0,Hip-Hop,Rap/Hip-Hop
TOTO,Africa,2018 Q3,5839756.0,Rock,Rock/Punk/Metal
XXXTENTACION,Everybody Dies In Their Nightmares,2018 Q3,5836469.0,Rock,Rock/Punk/Metal
XXXTENTACION,Look At Me!,2018 Q3,5808966.0,Rock,Rock/Punk/Metal
Rudimental,Let Me Live (feat. Anne-Marie & Mr Eazi),2018 Q3,5707987.0,Pop,Pop
French Montana,Unforgettable,2018 Q3,5685664.0,Hip-Hop,Rap/Hip-Hop
Rita Ora,"Girls (feat. Cardi B, Bebe Rexha & Charli XCX)",2018 Q3,5639293.0,Pop,Pop
Oasis,Wonderwall - Remastered,2018 Q3,5630861.0,Pop,Pop
B Young,Jumanji,2018 Q3,5567658.0,Swing,Swing
Bazzi,Beautiful (feat. Camila Cabello),2018 Q3,5564540.0,Pop,Pop
Hugh Jackman,Come Alive,2018 Q3,5545114.0,Musicals,Musicals
George Ezra,Budapest,2018 Q3,5509269.0,Rock,Rock/Punk/Metal
Hugh Jackman,From Now On,2018 Q3,5492358.0,Musicals,Musicals
Kendrick Lamar,All The Stars (with SZA),2018 Q3,5399150.0,Hip-Hop,Rap/Hip-Hop
Vance Joy,Riptide,2018 Q3,5349190.0,Rock,Rock/Punk/Metal
Loud Luxury,Body,2018 Q3,5322432.0,House,Dance/House
Avelino,Boasy,2018 Q3,5234591.0,Grime,Electronic
Drake,One Dance,2018 Q3,5179200.0,Rap,Rap/Hip-Hop
Jason Mraz,I'm Yours,2018 Q3,5162554.0,Acoustic,Acoustic
Tyga,SWISH,2018 Q3,5145107.0,Hip-Hop,Rap/Hip-Hop
Billie Eilish,lovely (with Khalid),2018 Q3,5109913.0,Indie,Indie
Eminem,River (feat. Ed Sheeran),2018 Q3,5103241.0,Rap,Rap/Hip-Hop
Drake,I'm Upset,2018 Q3,5052206.0,Rap,Rap/Hip-Hop
Drake,Emotionless,2018 Q3,5032109.0,Rap,Rap/Hip-Hop
Macklemore & Ryan Lewis,Can't Hold Us - feat. Ray Dalton,2018 Q3,5009694.0,Hip-Hop,Rap/Hip-Hop
Ed Sheeran,Castle on the Hill,2018 Q3,4928488.0,Pop,Pop
Ed Sheeran,Perfect,2018 Q3,4919848.0,Pop,Pop
Ed Sheeran,Happier,2018 Q3,4907376.0,Pop,Pop
Sam Smith,Too Good At Goodbyes,2018 Q3,4906237.0,Soul,Soul
David Guetta,Don't Leave Me Alone (feat. Anne-Marie),2018 Q3,4894995.0,Edm,Electronic
Ramz,Family Tree,2018 Q3,4875164.0,Swing,Swing
Lily James,When I Kissed The Teacher,2018 Q3,4856461.0,Musicals,Musicals
Bebe Rexha,I'm a Mess,2018 Q3,4848177.0,Pop,Pop
Lil Uzi Vert,XO Tour Llif3,2018 Q3,4822876.0,Rap,Rap/Hip-Hop
Eminem,Greatest,2018 Q3,4768817.0,Rap,Rap/Hip-Hop
Childish Gambino,This Is America,2018 Q3,4743695.0,Hip-Hop,Rap/Hip-Hop
The Carters,APESHIT,2018 Q3,4731799.0,Hip-Hop,Rap/Hip-Hop
Sia,Thunderclouds,2018 Q3,4723368.0,Christmas,Christmas
The Kooks,Naive,2018 Q3,4641704.0,Indie,Indie
Freya Ridings,Lost Without You,2018 Q3,4616746.0,Indie,Indie
Nicki Minaj,Bed (feat. Ariana Grande),2018 Q3,4608740.0,Pop,Pop
Drake,Mob Ties,2018 Q3,4579116.0,Rap,Rap/Hip-Hop
Eminem,Not Alike (feat. Royce Da 5'9),2018 Q3,4554228.0,Rap,Rap/Hip-Hop
Oasis,Don't Look Back in Anger - Remastered,2018 Q3,4536800.0,Pop,Pop
Khalid,OTW,2018 Q3,4526443.0,R&B,R&B
Imagine Dragons,Natural,2018 Q3,4511025.0,Indie,Indie
James Arthur,Say You Won't Let Go,2018 Q3,4498224.0,R&B,R&B
Zedd,Happy Now,2018 Q3,4475780.0,House,Dance/House
Josh Dylan,Why Did It Have To Be Me?,2018 Q3,4427196.0,Musicals,Musicals
Juice WRLD,All Girls Are The Same,2018 Q3,4421074.0,Rap,Rap/Hip-Hop
The 1975,TOOTIMETOOTIMETOOTIME,2018 Q3,4356398.0,Indie,Indie
Avicii,Wake Me Up,2018 Q3,4298053.0,House,Dance/House
Eminem,Kamikaze,2018 Q3,4203543.0,Rap,Rap/Hip-Hop
Beyoncé,Halo,2018 Q3,4192394.0,Pop,Pop
Ella Mai,Boo'd Up,2018 Q3,4187062.0,R&B,R&B
Jason Derulo,"Colors - Coca-Cola® Anthem, 2018 FIFA World CupTM",2018 Q3,4160549.0,Dance,Dance/House
Drake,I'm Upset,2018 Q3,4101508.0,Rap,Rap/Hip-Hop
"Baddiel, Skinner & Lightning Seeds",Three Lions,2018 Q3,4091984.0,Pop,Pop
Drake,Elevate,2018 Q3,4063690.0,Rap,Rap/Hip-Hop
Ramz,Barking,2018 Q3,3996338.0,Swing,Swing
Juice WRLD,Lucid Dreams,2018 Q3,3976501.0,Rap,Rap/Hip-Hop
Sigala,Feels Like Home (feat. Kent Jones),2018 Q3,3947581.0,Dance,Dance/House
RAYE,Friends,2018 Q3,3945908.0,Pop,Pop
Imagine Dragons,Believer,2018 Q3,3894619.0,Indie,Indie
Drake,8 Out Of 10,2018 Q3,3860747.0,Rap,Rap/Hip-Hop
CamelPhat,Cola,2018 Q3,3839729.0,House,Dance/House
Drake,Survival,2018 Q3,3810491.0,Rap,Rap/Hip-Hop
James Arthur,You Deserve Better,2018 Q3,3714379.0,R&B,R&B
Ariana Grande,sweetener,2018 Q3,3685897.0,Pop,Pop
Not3s,My Lover - Radio Edit,2018 Q3,3650123.0,Swing,Swing
Childish Gambino,Summertime Magic,2018 Q3,3626338.0,Hip-Hop,Rap/Hip-Hop
Drake,Can’t Take A Joke,2018 Q3,3618852.0,Rap,Rap/Hip-Hop
Skepta,Energy (Stay Far Away),2018 Q3,3601568.0,Grime,Electronic
Eminem,Normal,2018 Q3,3526024.0,Rap,Rap/Hip-Hop
Sigma,Anywhere,2018 Q3,3511899.0,Edm,Electronic
Eminem,Stepping Stone,2018 Q3,3503281.0,Rap,Rap/Hip-Hop
Eminem,Venom - Music From The Motion Picture,2018 Q3,3445264.0,Rap,Rap/Hip-Hop
J Hus,Dark Vader,2018 Q3,3424083.0,Grime,Electronic
Jax Jones,Breathe,2018 Q3,3421253.0,House,Dance/House
D-Block Europe,Gucci Mane,2018 Q3,3379906.0,Grime,Electronic
Travis Scott,BUTTERFLY EFFECT,2018 Q3,3365991.0,Rap,Rap/Hip-Hop
Luis Fonsi,Despacito - Remix,2018 Q3,3353311.0,Latin,Latin
Arctic Monkeys,Do I Wanna Know?,2018 Q3,3328127.0,Indie,Indie
Drake,Mob Ties,2018 Q3,3274448.0,Rap,Rap/Hip-Hop
Shawn Mendes,In My Blood,2018 Q3,3202115.0,Pop,Pop
Hugh Skinner,"Waterloo - From ""Mamma Mia! Here We Go Again""",2018 Q3,3110487.0,Musicals,Musicals
Kojo Funds,Who Am I? (feat. Bugzy Malone),2018 Q3,3091953.0,Swing,Swing
Imagine Dragons,Thunder,2018 Q3,3090184.0,Indie,Indie
Selena Gomez,Back To You,2018 Q3,3089038.0,Pop,Pop
Lily James,Mamma Mia,2018 Q3,3088876.0,Musicals,Musicals
Arctic Monkeys,Fluorescent Adolescent,2018 Q3,3066649.0,Indie,Indie
Passenger,Let Her Go,2018 Q3,3033920.0,Folk,Folk
Drake,Talk Up,2018 Q3,3012482.0,Rap,Rap/Hip-Hop
Sigala,Came Here for Love,2018 Q3,3001122.0,Pop,Pop
Rae Sremmurd,Guatemala - From Swaecation,2018 Q3,2991754.0,Pop,Pop
Drake,Sandra’s Rose,2018 Q3,2958915.0,Rap,Rap/Hip-Hop
Drake,After Dark,2018 Q3,2956535.0,Rap,Rap/Hip-Hop
Eminem,Good Guy (feat. Jessie Reyez),2018 Q3,2948346.0,Rap,Rap/Hip-Hop
Kendrick Lamar,HUMBLE.,2018 Q3,2923986.0,Hip-Hop,Rap/Hip-Hop
Drake,Blue Tint,2018 Q3,2867377.0,Rap,Rap/Hip-Hop
Drake,Summer Games,2018 Q3,2849459.0,Rap,Rap/Hip-Hop
Not3s,Sit Back Down (feat. Maleek Berry),2018 Q3,2767220.0,Swing,Swing
Michelle Williams,Tightrope,2018 Q3,2730275.0,Musicals,Musicals
WALK THE MOON,Shut Up and Dance,2018 Q3,2704218.0,Rock,Rock/Punk/Metal
Drake,That’s How You Feel,2018 Q3,2676301.0,Rap,Rap/Hip-Hop
Jorja Smith,Blue Lights,2018 Q3,2652260.0,R&B,R&B
Lil Peep,Falling Down - Bonus Track,2018 Q3,2640357.0,Rock,Rock/Punk/Metal
Travis Scott,YOSEMITE,2018 Q3,2639149.0,Rap,Rap/Hip-Hop
Christine Baranski,Angel Eyes,2018 Q3,2620553.0,Musicals,Musicals
The Kooks,She Moves In Her Own Way,2018 Q3,2617274.0,Indie,Indie
Post Malone,Congratulations,2018 Q3,2605142.0,Rap,Rap/Hip-Hop
Jason Derulo,Goodbye (feat. Nicki Minaj & Willy William),2018 Q3,2587858.0,Electronic,Electronic
Drake,Finesse,2018 Q3,2501815.0,Rap,Rap/Hip-Hop
AJ Tracey,LO(V/S)ER,2018 Q3,2496833.0,Grime,Electronic
Post Malone,Candy Paint,2018 Q3,2477848.0,Rap,Rap/Hip-Hop
Ariana Grande,everytime,2018 Q3,2470570.0,Pop,Pop
Drake,Peak,2018 Q3,2435875.0,Rap,Rap/Hip-Hop
Drake,Jaded,2018 Q3,2418374.0,Rap,Rap/Hip-Hop
Eminem,"Lose Yourself - From ""8 Mile"" Soundtrack",2018 Q3,2381174.0,Rap,Rap/Hip-Hop
Bruno Mars,Finesse - Remix; feat. Cardi B,2018 Q3,2380367.0,Pop,Pop
Florence + The Machine,Hunger,2018 Q3,2353299.0,Pop,Pop
MNEK,Colour,2018 Q3,2350370.0,Electronic,Electronic
Paul Rosenberg,Paul - Skit,2018 Q3,2272946.0,Unknown,Unknown
MoStack,What I Wanna,2018 Q3,2266771.0,Grime,Electronic
KYLE,Playinwitme (feat. Kehlani),2018 Q3,2244167.0,Rap,Rap/Hip-Hop
Drake,Is There More,2018 Q3,2236768.0,Rap,Rap/Hip-Hop
Lily James,"Andante, Andante",2018 Q3,2222373.0,Musicals,Musicals
Juice WRLD,Lean Wit Me,2018 Q3,2217072.0,Rap,Rap/Hip-Hop
XXXTENTACION,the remedy for a broken heart (why am I so in love),2018 Q3,2208607.0,Rock,Rock/Punk/Metal
Kris Kross Amsterdam,Whenever (feat. Conor Maynard),2018 Q3,2206361.0,House,Dance/House
Swarmz,Lyca,2018 Q3,2201408.0,Grime,Electronic
Eminem,Nice Guy (with Jessie Reyez),2018 Q3,2179622.0,Rap,Rap/Hip-Hop
Bugzy Malone,Run (feat. Rag'n'Bone Man),2018 Q3,2147376.0,Grime,Electronic
The 1975,Love It If We Made It,2018 Q3,2117176.0,Indie,Indie
Florence + The Machine,You've Got The Love,2018 Q3,2115050.0,Pop,Pop
Clean Bandit,Symphony (feat. Zara Larsson),2018 Q3,2095074.0,Pop,Pop
Lil Baby,Yes Indeed,2018 Q3,2047727.0,Rap,Rap/Hip-Hop
Years & Years,If You're Over Me,2018 Q3,2047725.0,Electronic,Electronic
Loski,Forrest Gump,2018 Q3,2045251.0,Drill,Rap/Hip-Hop
Amanda Seyfried,One Of Us,2018 Q3,2032744.0,Musicals,Musicals
Shawn Mendes,In My Blood,2018 Q3,2021062.0,Pop,Pop
One Bit,My Way,2018 Q3,2008561.0,Unknown,Unknown
Drake,Ratchet Happy Birthday,2018 Q3,1997216.0,Rap,Rap/Hip-Hop
Eminem,Em Calls Paul - Skit,2018 Q3,1996975.0,Rap,Rap/Hip-Hop
Crazy Cousinz,Feelings (Wifey) [feat. Yungen],2018 Q3,1974355.0,Funk,Funk
Daryl Hall & John Oates,You Make My Dreams (Come True),2018 Q3,1967517.0,Rock,Rock/Punk/Metal
Drake,Final Fantasy,2018 Q3,1940719.0,Rap,Rap/Hip-Hop
Whitney Houston,I Wanna Dance with Somebody (Who Loves Me),2018 Q3,1934048.0,Soul,Soul
Mabel,One Shot,2018 Q3,1925840.0,R&B,R&B
NOTD,I Wanna Know (feat. Bea Miller),2018 Q3,1907249.0,Pop,Pop
iLL BLU,Chop My Money,2018 Q3,1879664.0,Funk,Funk
Post Malone,Ball For Me (feat. Nicki Minaj),2018 Q3,1876455.0,Hip-Hop,Rap/Hip-Hop
Rita Ora,Anywhere,2018 Q3,1858129.0,Pop,Pop
Lauv,I Like Me Better,2018 Q3,1856176.0,Pop,Pop
Drake,March 14,2018 Q3,1839988.0,Rap,Rap/Hip-Hop
"Earth, Wind & Fire",September,2018 Q3,1832874.0,Disco,Disco
Khalid,Better,2018 Q3,1802842.0,R&B,R&B
David Guetta,Don't Leave Me Alone (feat. Anne-Marie),2018 Q3,1790867.0,Edm,Electronic
DJ Khaled,Wild Thoughts (feat. Rihanna & Bryson Tiller),2018 Q3,1770413.0,Hip-Hop,Rap/Hip-Hop
MK,Back & Forth,2018 Q3,1738438.0,House,Dance/House
OMI,Cheerleader - Felix Jaehn Remix Radio Edit,2018 Q3,1731437.0,Electronic,Electronic
Shakira,Hips Don't Lie (feat. Wyclef Jean),2018 Q3,1711668.0,Latin,Latin
The Chainsmokers,Side Effects (feat. Emily Warren),2018 Q3,1692239.0,Dance,Dance/House
Ariana Grande,R.E.M,2018 Q3,1679475.0,Pop,Pop
Sigala,Just Got Paid,2018 Q3,1672828.0,Dance,Dance/House
Travis Scott,WAKE UP,2018 Q3,1658169.0,Rap,Rap/Hip-Hop
Camila Cabello,She Loves Control,2018 Q3,1639625.0,Pop,Pop
Sigala,We Don't Care,2018 Q3,1631904.0,Dance,Dance/House
Cher,"Fernando - From ""Mamma Mia! Here We Go Again""",2018 Q3,1608126.0,Soundtrack,Soundtrack
Swarmz,Lyca,2018 Q3,1544914.0,Grime,Electronic
Ariana Grande,goodnight n go,2018 Q3,1543844.0,Pop,Pop
Unknown T,Homerton B,2018 Q3,1531287.0,Drill,Rap/Hip-Hop
Travis Scott,CAROUSEL,2018 Q3,1525039.0,Rap,Rap/Hip-Hop
XXXTENTACION,Hope,2018 Q3,1480301.0,Rock,Rock/Punk/Metal
Post Malone,Paranoid,2018 Q3,1462116.0,Hip-Hop,Rap/Hip-Hop
Drake,Emotionless,2018 Q3,1447358.0,Rap,Rap/Hip-Hop
Nicki Minaj,Barbie Dreams,2018 Q3,1395303.0,Rap,Rap/Hip-Hop
One Acen,EIO (feat. Hardy Caprio),2018 Q3,1376108.0,Swing,Swing
Travis Scott,STOP TRYING TO BE GOD,2018 Q3,1370851.0,Rap,Rap/Hip-Hop
The Chainsmokers,Side Effects (feat. Emily Warren),2018 Q3,1363251.0,Dance,Dance/House
Kanye West,All Mine,2018 Q3,1338335.0,Rap,Rap/Hip-Hop
Eminem,Killshot,2018 Q3,1322789.0,Rap,Rap/Hip-Hop
Travis Scott,R.I.P. SCREW,2018 Q3,1312952.0,Rap,Rap/Hip-Hop
Hozier,Take Me to Church,2018 Q3,1281970.0,Pop,Pop
Journey,Don't Stop Believin',2018 Q3,1265515.0,Rock,Rock/Punk/Metal
Not3s,Just Fine,2018 Q3,1263557.0,Swing,Swing
Ariana Grande,pete davidson,2018 Q3,1212481.0,Pop,Pop
Travis Scott,NO BYSTANDERS,2018 Q3,1211722.0,Rap,Rap/Hip-Hop
Machine Gun Kelly,RAP DEVIL,2018 Q3,1200387.0,Punk,Rock/Punk/Metal
The 1975,Give Yourself A Try,2018 Q3,1199359.0,Pop,Pop
Dua Lipa,Want To,2018 Q3,1192957.0,Pop,Pop
Childish Gambino,Feels Like Summer,2018 Q3,1186868.0,R&B,R&B
Imagine Dragons,Believer,2018 Q3,1182845.0,Indie,Indie
Gucci Mane,Wake Up in the Sky,2018 Q3,1158444.0,Hip-Hop,Rap/Hip-Hop
Colin Firth,Dancing Queen,2018 Q3,1154415.0,Musicals,Musicals
Cher,Super Trouper,2018 Q3,1143001.0,Soundtrack,Soundtrack
Travis Scott,CAN'T SAY,2018 Q3,1132133.0,Rap,Rap/Hip-Hop
French Montana,No Stylist (feat. Drake),2018 Q3,1129909.0,Hip-Hop,Rap/Hip-Hop
Jeremy Irvine,"Knowing Me, Knowing You",2018 Q3,1112873.0,Musicals,Musicals
Billie Eilish,you should see me in a crown,2018 Q3,1104397.0,Pop,Pop
Ariana Grande,successful,2018 Q3,1094088.0,Pop,Pop
"Baddiel, Skinner & Lightning Seeds",Three Lions '98,2018 Q3,1084060.0,Pop,Pop
Stefflon Don,Senseless,2018 Q3,1076512.0,Dance,Dance/House
Ariana Grande,raindrops (an angel cried),2018 Q3,1075652.0,Pop,Pop
Demi Lovato,Sober,2018 Q3,1071268.0,Pop,Pop
Lily James,The Name Of The Game,2018 Q3,1070253.0,Musicals,Musicals
Twenty One Pilots,Jumpsuit,2018 Q3,1058259.0,Rock,Rock/Punk/Metal
Years & Years,All For You,2018 Q3,1056526.0,Pop,Pop
Imagine Dragons,Thunder,2018 Q3,1049131.0,Indie,Indie
David Guetta,Flames,2018 Q3,1048639.0,Dance,Dance/House
Ariana Grande,the light is coming (feat. Nicki Minaj),2018 Q3,1046824.0,Pop,Pop
Shawn Mendes,Like To Be You feat. Julia Michaels,2018 Q3,1045373.0,Pop,Pop
Lily James,I Have A Dream,2018 Q3,1037118.0,Musicals,Musicals
Ed Sheeran,Perfect Duet (Ed Sheeran & Beyoncé),2018 Q3,1034334.0,Soft Pop,Pop
Jason Derulo,Tip Toe (feat. French Montana),2018 Q3,1033745.0,Dance,Dance/House
Ariana Grande,better off,2018 Q3,1029883.0,Pop,Pop
Rich The Kid,Plug Walk,2018 Q3,1019611.0,Rap,Rap/Hip-Hop
Amelia Monét,Baddest,2018 Q3,1004009.0,Swing,Swing
The Jackson 5,I Want You Back,2018 Q3,1002855.0,Soul,Soul
Amanda Seyfried,I've Been Waiting For You,2018 Q3,1001977.0,Musicals,Musicals
MoStack,Litness,2018 Q3,997170.0,Grime,Electronic
Marshmello,Silence,2018 Q3,989932.0,Dance,Dance/House
Pinkfong,Baby Shark,2018 Q3,983027.0,Unknown,Unknown
Koomz,Mariah - Remix,2018 Q3,970454.0,Swing,Swing
Arctic Monkeys,Mardy Bum,2018 Q3,966805.0,Indie,Indie
Ariana Grande,get well soon,2018 Q3,964740.0,Pop,Pop
Alesso,REMEDY,2018 Q3,907085.0,House,Dance/House
Drake,Elevate,2018 Q3,898771.0,Rap,Rap/Hip-Hop
Drake,Can’t Take A Joke,2018 Q3,876120.0,Rap,Rap/Hip-Hop
David Guetta,Say My Name,2018 Q3,874583.0,House,Dance/House
OneRepublic,Start Again (feat. Logic),2018 Q3,852802.0,Soft Pop,Pop
Juice WRLD,All Girls Are The Same,2018 Q3,847216.0,Rap,Rap/Hip-Hop
Rita Ora,Let You Love Me,2018 Q3,837622.0,Pop,Pop
Bring Me The Horizon,MANTRA,2018 Q3,836541.0,Metal,Rock/Punk/Metal
Mac Miller,Self Care,2018 Q3,828389.0,Hip-Hop,Rap/Hip-Hop
Cadet,Advice,2018 Q3,825343.0,Grime,Electronic
Not3s,Sit Back Down (feat. Maleek Berry),2018 Q3,821662.0,Swing,Swing
Drake,After Dark (feat. Static Major & Ty Dolla $ign),2018 Q3,812399.0,Rap,Rap/Hip-Hop
Fat Les,Vindaloo,2018 Q3,772970.0,Unknown,Unknown
Drake,Blue Tint,2018 Q3,765473.0,Rap,Rap/Hip-Hop
Lil Baby,Drip Too Hard,2018 Q3,761753.0,Hip-Hop,Rap/Hip-Hop
New Order,World in Motion,2018 Q3,761112.0,Pop,Pop
Travis Scott,SKELETONS,2018 Q3,754046.0,Rap,Rap/Hip-Hop
Nicki Minaj,Chun-Li,2018 Q3,748655.0,Rap,Rap/Hip-Hop
KSI,On Point,2018 Q3,748161.0,Hip-Hop,Rap/Hip-Hop
6ix9ine,BEBE,2018 Q3,737818.0,Latin,Latin
Bastille,Pompeii,2018 Q3,734276.0,Rock,Rock/Punk/Metal
Travis Scott,5% TINT,2018 Q3,730753.0,Rap,Rap/Hip-Hop
XXXTENTACION,NUMB,2018 Q3,719003.0,Rock,Rock/Punk/Metal
The Chainsmokers,Side Effects (feat. Emily Warren),2018 Q3,709732.0,Dance,Dance/House
Lil Mosey,Noticed,2018 Q3,706372.0,Rap,Rap/Hip-Hop
Joji,SLOW DANCING IN THE DARK,2018 Q3,704562.0,Indie,Indie
Ariana Grande,blazed (feat. Pharrell Williams),2018 Q3,703743.0,Pop,Pop
Travis Scott,ASTROTHUNDER,2018 Q3,700767.0,Rap,Rap/Hip-Hop
Travis Scott,NC-17,2018 Q3,694174.0,Rap,Rap/Hip-Hop
Clean Bandit,I Miss You (feat. Julia Michaels),2018 Q3,681228.0,Pop,Pop
Travis Scott,WHO? WHAT!,2018 Q3,678171.0,Rap,Rap/Hip-Hop
Ed Sheeran,Galway Girl,2018 Q3,673800.0,Pop,Pop
NF,Let You Down,2018 Q3,664908.0,Rap,Rap/Hip-Hop
The Chainsmokers,Closer,2018 Q3,661175.0,House,Dance/House
Machine Gun Kelly,RAP DEVIL,2018 Q3,649946.0,Punk,Rock/Punk/Metal
Gryffin,Tie Me Down (with Elley Duhé),2018 Q3,646171.0,Edm,Electronic
Arctic Monkeys,I Bet You Look Good On The Dancefloor,2018 Q3,634922.0,Indie,Indie
Electric Light Orchestra,Mr. Blue Sky,2018 Q3,634633.0,Rock,Rock/Punk/Metal
Travis Scott,HOUSTONFORNICATION,2018 Q3,630576.0,Rap,Rap/Hip-Hop
Kanye West,Gold Digger,2018 Q3,626875.0,Hip-Hop,Rap/Hip-Hop
Ariana Grande,borderline (feat. Missy Elliott),2018 Q3,621324.0,Pop,Pop
Mumford & Sons,Guiding Light,2018 Q3,602184.0,Folk,Folk
Aretha Franklin,I Say a Little Prayer,2018 Q3,563619.0,R&B,R&B
Nicki Minaj,Majesty (with Labrinth & feat. Eminem),2018 Q3,551477.0,Rap,Rap/Hip-Hop
The 1975,Sincerity Is Scary,2018 Q3,547351.0,Indie,Indie
Aretha Franklin,Respect,2018 Q3,544063.0,R&B,R&B
Travis Scott,COFFEE BEAN,2018 Q3,538458.0,Rap,Rap/Hip-Hop
Bugzy Malone,Run (feat. Rag'n'Bone Man),2018 Q3,484000.0,Grime,Electronic
Lil Uzi Vert,New Patek,2018 Q3,471602.0,Rap,Rap/Hip-Hop
Chip,CRB Check (feat. Not3s),2018 Q3,465980.0,Chill,Chill
Chance the Rapper,I Might Need Security,2018 Q3,453515.0,Rap,Rap/Hip-Hop
Trippie Redd,Taking A Walk,2018 Q3,444969.0,Rap,Rap/Hip-Hop
ZAYN,Too Much (feat. Timbaland),2018 Q3,433746.0,R&B,R&B
Dizzee Rascal,Money Right,2018 Q3,431534.0,Grime,Electronic
RAYE,Cigarette,2018 Q3,428514.0,Pop,Pop
Twenty One Pilots,Nico And The Niners,2018 Q3,420315.0,Pop,Pop
Florence + The Machine,Patricia,2018 Q3,414781.0,Pop,Pop
The Chainsmokers,This Feeling (feat. Kelsea Ballerini),2018 Q3,412126.0,Electronic,Electronic
Logic,One Day (feat. Ryan Tedder),2018 Q3,408344.0,Hip-Hop,Rap/Hip-Hop
Drake,Survival,2018 Q3,404526.0,Rap,Rap/Hip-Hop
Drake,That’s How You Feel,2018 Q3,403624.0,Rap,Rap/Hip-Hop
Years & Years,Karma,2018 Q3,402041.0,Electronic,Electronic
Nicki Minaj,Ganja Burn,2018 Q3,401298.0,Rap,Rap/Hip-Hop
Drake,8 Out Of 10,2018 Q3,401243.0,Rap,Rap/Hip-Hop
Gorillaz,Humility (feat. George Benson),2018 Q3,393633.0,Indie,Indie
Drake,Summer Games,2018 Q3,390873.0,Rap,Rap/Hip-Hop
Dizzee Rascal,Money Right,2018 Q3,379908.0,Grime,Electronic
Years & Years,Sanctify,2018 Q3,376127.0,Pop,Pop
Kanye West,Yikes,2018 Q3,373632.0,Rap,Rap/Hip-Hop
Drake,Sandra’s Rose,2018 Q3,371209.0,Rap,Rap/Hip-Hop
Lukas Graham,Love Someone,2018 Q3,370997.0,Funk,Funk
Lana Del Rey,Mariners Apartment Complex,2018 Q3,369733.0,Pop,Pop
Florence + The Machine,South London Forever,2018 Q3,368266.0,Pop,Pop
Mac Miller,Ladders,2018 Q3,366799.0,Rap,Rap/Hip-Hop
OneRepublic,Connection,2018 Q3,363248.0,Pop,Pop
Florence + The Machine,Big God,2018 Q3,360247.0,Pop,Pop
Drake,Finesse,2018 Q3,359577.0,Rap,Rap/Hip-Hop
Sigrid,High Five,2018 Q3,357535.0,Pop,Pop
The White Stripes,Seven Nation Army,2018 Q3,357372.0,Rock,Rock/Punk/Metal
Eminem,'Till I Collapse,2018 Q3,356013.0,Hip-Hop,Rap/Hip-Hop
Yungen,Pricey (feat. One Acen),2018 Q3,353207.0,Grime,Electronic
