,Song ID,Spotify URI,Song Title,Performer,Region,Quarter,Quarterly Streams,Best Quarterly Position,Peak Position,Worst Position,Time On Chart,Consecutive Weeks,Instance,Previous Week,Chart URL
7135,SexualNEIKED,3AsAuGTaDQzavZZThyYlop,Sexual,NEIKED,gb,2016 Q4,1567412,11,11,11,1,,1.0,,https://charts.spotify.com/charts/view/regional-gb-weekly/2016-12-29
993,Black BeatlesRae Sremmurd,6fujklziTHa8uoM5OQSfIo,Black Beatles,Rae Sremmurd,gb,2016 Q4,1493769,12,12,12,1,,1.0,,https://charts.spotify.com/charts/view/regional-gb-weekly/2016-12-29
2195,Don't Wanna KnowMaroon 5,5MFzQMkrl1FOOng9tq6R9r,Don't Wanna Know,Maroon 5,gb,2016 Q4,1486671,13,13,13,1,,1.0,,https://charts.spotify.com/charts/view/regional-gb-weekly/2016-12-29
4095,It's the Most Wonderful Time of the YearAndy Williams,5hslUAKq9I9CG2bAulFkHN,It's the Most Wonderful Time of the Year,Andy Williams,gb,2016 Q4,1472947,14,14,14,1,,1.0,,https://charts.spotify.com/charts/view/regional-gb-weekly/2016-12-29
1623,CloserThe Chainsmokers,7BKLCZ1jbUBVqRi2FVlTVw,Closer,The Chainsmokers,gb,2016 Q4,1411852,15,15,15,1,,1.0,,https://charts.spotify.com/charts/view/regional-gb-weekly/2016-12-29
105,24K MagicBruno Mars,6b8Be6ljOzmkOmFslEb23P,24K Magic,Bruno Mars,gb,2016 Q4,1391745,16,16,16,1,,1.0,,https://charts.spotify.com/charts/view/regional-gb-weekly/2016-12-29
2057,Do They Know It's Christmas? - 1984 VersionBand Aid,1hvpDAxZPKjKztOc72sv06,Do They Know It's Christmas? - 1984 Version,Band Aid,gb,2016 Q4,1342309,17,17,17,1,,1.0,,https://charts.spotify.com/charts/view/regional-gb-weekly/2016-12-29
4078,It's Beginning to Look a Lot like ChristmasMichael Bublé,0lLdorYw7lVrJydTINhWdI,It's Beginning to Look a Lot like Christmas,Michael Bublé,gb,2016 Q4,1336880,18,18,18,1,,1.0,,https://charts.spotify.com/charts/view/regional-gb-weekly/2016-12-29
3693,I Feel It ComingThe Weeknd,5GXAXm5YOmYT0kL5jHvYBt,I Feel It Coming,The Weeknd,gb,2016 Q4,1313456,19,19,19,1,,1.0,,https://charts.spotify.com/charts/view/regional-gb-weekly/2016-12-29
2510,Fake LoveDrake,343YBumqHu19cGoGARUTsd,Fake Love,Drake,gb,2016 Q4,1298141,20,20,20,1,,1.0,,https://charts.spotify.com/charts/view/regional-gb-weekly/2016-12-29
7271,Shout Out to My ExLittle Mix,0YHUITU3w6ws1v8ehT264g,Shout Out to My Ex,Little Mix,gb,2016 Q4,1274129,21,21,21,1,,1.0,,https://charts.spotify.com/charts/view/regional-gb-weekly/2016-12-29
3815,I Wish It Could Be Christmas EverydayWizzard,1mH6tZC6iXIHPI6EixCwxw,I Wish It Could Be Christmas Everyday,Wizzard,gb,2016 Q4,1258496,22,22,22,1,,1.0,,https://charts.spotify.com/charts/view/regional-gb-weekly/2016-12-29
433,All NightThe Vamps,4b4KcovePX8Ke2cLIQTLM0,All Night,The Vamps,gb,2016 Q4,1249782,23,23,23,1,,1.0,,https://charts.spotify.com/charts/view/regional-gb-weekly/2016-12-29
3667,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""ZAYN",3NdDpSvN911VPGivFlV5d0,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,gb,2016 Q4,1243523,24,24,24,1,,1.0,,https://charts.spotify.com/charts/view/regional-gb-weekly/2016-12-29
3590,HumanRag'n'Bone Man,58zsLZPvfflaiIbNWoA22O,Human,Rag'n'Bone Man,gb,2016 Q4,1237304,25,25,25,1,,1.0,,https://charts.spotify.com/charts/view/regional-gb-weekly/2016-12-29
7654,Step Into ChristmasElton John,3YQUpKTmtgPJf8u6ooi9KA,Step Into Christmas,Elton John,gb,2016 Q4,1225419,26,26,26,1,,1.0,,https://charts.spotify.com/charts/view/regional-gb-weekly/2016-12-29
8180,The MackNevada,7aV2mflaASUmGhCErm7kBO,The Mack,Nevada,gb,2016 Q4,1214257,27,27,27,1,,1.0,,https://charts.spotify.com/charts/view/regional-gb-weekly/2016-12-29
1288,By Your SideJonas Blue,1D3ODoXHBLpdxolZRHWV1j,By Your Side,Jonas Blue,gb,2016 Q4,1196978,28,28,28,1,,1.0,,https://charts.spotify.com/charts/view/regional-gb-weekly/2016-12-29
9152,Wonderful Christmastime - Remastered 2011 / Edited VersionPaul McCartney,4gavOCQdZ2g86gkvi17FM7,Wonderful Christmastime - Remastered 2011 / Edited Version,Paul McCartney,gb,2016 Q4,1127497,29,29,29,1,,1.0,,https://charts.spotify.com/charts/view/regional-gb-weekly/2016-12-29
1322,Call On Me - Ryan Riback Extended RemixStarley,78rIJddV4X0HkNAInEcYde,Call On Me - Ryan Riback Extended Remix,Starley,gb,2016 Q4,1115166,30,30,30,1,,1.0,,https://charts.spotify.com/charts/view/regional-gb-weekly/2016-12-29
5107,Merry Xmas EverybodySlade,3iwZ8hg0q1kTBB5kjg0nO4,Merry Xmas Everybody,Slade,gb,2016 Q4,1112023,31,31,31,1,,1.0,,https://charts.spotify.com/charts/view/regional-gb-weekly/2016-12-29
5833,One DanceDrake,1xznGGDReH1oQq0xzbwXa3,One Dance,Drake,gb,2016 Q4,1087214,32,32,32,1,,1.0,,https://charts.spotify.com/charts/view/regional-gb-weekly/2016-12-29
9008,White ChristmasBing Crosby,4so0Wek9Ig1p6CRCHuINwW,White Christmas,Bing Crosby,gb,2016 Q4,1077674,33,33,33,1,,1.0,,https://charts.spotify.com/charts/view/regional-gb-weekly/2016-12-29
6713,Rockin' Around The Christmas Tree - Single VersionBrenda Lee,3T7dNA7O8c3Axj5WyDNcH3,Rockin' Around The Christmas Tree - Single Version,Brenda Lee,gb,2016 Q4,1066321,34,34,34,1,,1.0,,https://charts.spotify.com/charts/view/regional-gb-weekly/2016-12-29
8145,The GreatestSia,6bLopGnirdrilrpdVB6Um1,The Greatest,Sia,gb,2016 Q4,1065247,35,35,35,1,,1.0,,https://charts.spotify.com/charts/view/regional-gb-weekly/2016-12-29
3243,Happy Xmas (War Is Over) - Remastered 2010John Lennon,3zJw3rugfpVrmBeDDnUYzy,Happy Xmas (War Is Over) - Remastered 2010,John Lennon,gb,2016 Q4,1039049,36,36,36,1,,1.0,,https://charts.spotify.com/charts/view/regional-gb-weekly/2016-12-29
1657,Cold Water (feat. Justin Bieber & MØ)Major Lazer,6DNtNfH8hXkqOX1sjqmI7p,Cold Water (feat. Justin Bieber & MØ),Major Lazer,gb,2016 Q4,1035005,37,37,37,1,,1.0,,https://charts.spotify.com/charts/view/regional-gb-weekly/2016-12-29
