year_quarter,genre,Genre_Group,streams,gdp_(£m),inflation_(%),hfce_(£m),unemployment_rate_(%),max_streams_per_genre,is_max_streams,max_stream_genre
2017 Q1,Electronic,Electronic,85371422,594423,2.2,372376,4.6,85371422,true,Soft Pop
2017 Q1,Electropop,Electronic,12864258,594423,2.2,372376,4.6,12864258,true,Soft Pop
2017 Q1,Experimental,Other,438261,594423,2.2,372376,4.6,438261,true,Soft Pop
2017 Q1,Folk,Folk,3301245,594423,2.2,372376,4.6,3301245,true,Soft Pop
2017 Q1,French House,Dance/House,2841957,594423,2.2,372376,4.6,2841957,true,Soft Pop
2017 Q1,Funk,Funk,4367579,594423,2.2,372376,4.6,4367579,true,Soft Pop
2017 Q1,Future Bass,Electronic,229454,594423,2.2,372376,4.6,229454,true,Soft Pop
2017 Q1,Grime,Electronic,85752345,594423,2.2,372376,4.6,85752345,true,Soft Pop
2017 Q1,Hiphop,Rap/Hip-Hop,312208,594423,2.2,372376,4.6,312208,true,Soft Pop
2017 Q1,Hip-Hop,Rap/Hip-Hop,78699006,594423,2.2,372376,4.6,78699006,true,Soft Pop
2017 Q1,House,Dance/House,98293575,594423,2.2,372376,4.6,98293575,true,Soft Pop
2017 Q1,Hyperpop,Pop,7875223,594423,2.2,372376,4.6,7875223,true,Soft Pop
2017 Q1,Hyphy,Rap/Hip-Hop,12305077,594423,2.2,372376,4.6,12305077,true,Soft Pop
2017 Q1,Indie,Indie,51675760,594423,2.2,372376,4.6,51675760,true,Soft Pop
2017 Q1,Indie Pop,Pop,17212116,594423,2.2,372376,4.6,17212116,true,Soft Pop
2017 Q1,Latin,Latin,3026950,594423,2.2,372376,4.6,3026950,true,Soft Pop
2017 Q1,Latin Pop,Latin,2289103,594423,2.2,372376,4.6,2289103,true,Soft Pop
2017 Q1,Lil Yachty,Rap/Hip-Hop,2450296,594423,2.2,372376,4.6,2450296,true,Soft Pop
2017 Q1,Lo-Fi,Other,900646,594423,2.2,372376,4.6,900646,true,Soft Pop
2017 Q1,Love At First Listen,Other,512309,594423,2.2,372376,4.6,512309,true,Soft Pop
2017 Q1,Mariachi,Latin,232807,594423,2.2,372376,4.6,232807,true,Soft Pop
2017 Q1,Modern Rock,Rock/Punk/Metal,235680,594423,2.2,372376,4.6,235680,true,Soft Pop
2017 Q1,Moombahton,Electronic,25361750,594423,2.2,372376,4.6,25361750,true,Soft Pop
2017 Q1,Musical,Musicals,1711241,594423,2.2,372376,4.6,1711241,true,Soft Pop
2017 Q1,Musicals,Musicals,1485332,594423,2.2,372376,4.6,1485332,true,Soft Pop
2017 Q1,Neo-Soul,Soul,611861,594423,2.2,372376,4.6,611861,true,Soft Pop
2017 Q1,Nu Metal,Rock/Punk/Metal,408990,594423,2.2,372376,4.6,408990,true,Soft Pop
2017 Q1,Please Let Me Lick You,Other,2646405,594423,2.2,372376,4.6,2646405,true,Soft Pop
2017 Q1,Pop,Pop,27551033,594423,2.2,372376,4.6,27551033,true,Soft Pop
2017 Q1,Pop Punk,Rock/Punk/Metal,242958,594423,2.2,372376,4.6,242958,true,Soft Pop
2017 Q1,Pop Rap,Rap/Hip-Hop,1836672,594423,2.2,372376,4.6,1836672,true,Soft Pop
2017 Q1,Pop-Rock,Pop,20627933,594423,2.2,372376,4.6,20627933,true,Soft Pop
2017 Q1,Psychedelic Soul,Soul,5562796,594423,2.2,372376,4.6,5562796,true,Soft Pop
2017 Q1,Reggae,Reggae,14535466,594423,2.2,372376,4.6,14535466,true,Soft Pop
2017 Q1,Rock,Rock/Punk/Metal,8112122,594423,2.2,372376,4.6,8112122,true,Soft Pop
2017 Q1,Soft Pop,Pop,162302965,594423,2.2,372376,4.6,162302965,true,Soft Pop
2017 Q1,Soft Rock,Rock/Punk/Metal,294615,594423,2.2,372376,4.6,294615,true,Soft Pop
2017 Q1,Soul,Soul,9297393,594423,2.2,372376,4.6,9297393,true,Soft Pop
2017 Q1,Soundtrack,Soundtrack,11993447,594423,2.2,372376,4.6,11993447,true,Soft Pop
2017 Q1,Synthpop,Pop,446454,594423,2.2,372376,4.6,446454,true,Soft Pop
2017 Q1,Tech House,Dance/House,1280439,594423,2.2,372376,4.6,1280439,true,Soft Pop
2017 Q1,Trap,Rap/Hip-Hop,14035371,594423,2.2,372376,4.6,14035371,true,Soft Pop
2017 Q1,Trip Hop,Electronic,273885,594423,2.2,372376,4.6,273885,true,Soft Pop
2017 Q1,Tropical House,Dance/House,38568657,594423,2.2,372376,4.6,38568657,true,Soft Pop
2017 Q1,Unnecessary Collaboration,Other,2110317,594423,2.2,372376,4.6,2110317,true,Soft Pop
2017 Q2,Afrobeats,Afrobeats,7117143,598176,2.6,372182,4.4,7117143,true,Hip-Hop
2017 Q2,Afroswing,Afrobeats,4637681,598176,2.6,372182,4.4,4637681,true,Hip-Hop
2017 Q2,Alternative,Alternative,5930929,598176,2.6,372182,4.4,5930929,true,Hip-Hop
2017 Q2,Alternative Hip-Hop,Rap/Hip-Hop,640691,598176,2.6,372182,4.4,640691,true,Hip-Hop
2017 Q2,Alternative Rock,Alternative,19372573,598176,2.6,372182,4.4,19372573,true,Hip-Hop
2017 Q2,Art Pop,Pop,11888625,598176,2.6,372182,4.4,11888625,true,Hip-Hop
2017 Q2,Baroque Pop,Pop,279964,598176,2.6,372182,4.4,279964,true,Hip-Hop
2017 Q2,Britpop,Pop,9239242,598176,2.6,372182,4.4,9239242,true,Hip-Hop
2017 Q2,Classic Rock,Rock/Punk/Metal,2124276,598176,2.6,372182,4.4,2124276,true,Hip-Hop
2017 Q2,Country,Country,11914696,598176,2.6,372182,4.4,11914696,true,Hip-Hop
2017 Q2,Dance,Dance/House,67561035,598176,2.6,372182,4.4,67561035,true,Hip-Hop
2017 Q2,Dancehall,Reggae,1059646,598176,2.6,372182,4.4,1059646,true,Hip-Hop
2017 Q2,Dance-Pop,Dance/House,13263953,598176,2.6,372182,4.4,13263953,true,Hip-Hop
2017 Q2,Deep House,Dance/House,2719240,598176,2.6,372182,4.4,2719240,true,Hip-Hop
2017 Q2,Disco,Disco,2644268,598176,2.6,372182,4.4,2644268,true,Hip-Hop
2017 Q2,Drum And Bass,Electronic,272597,598176,2.6,372182,4.4,272597,true,Hip-Hop
2017 Q2,Electro,Electronic,312651,598176,2.6,372182,4.4,312651,true,Hip-Hop
2017 Q2,Electro House,Dance/House,12367804,598176,2.6,372182,4.4,12367804,true,Hip-Hop
2017 Q2,Electro Pop,Electronic,8168733,598176,2.6,372182,4.4,8168733,true,Hip-Hop
2017 Q2,Electronic,Electronic,65945772,598176,2.6,372182,4.4,65945772,true,Hip-Hop
2017 Q2,Electropop,Electronic,4394166,598176,2.6,372182,4.4,4394166,true,Hip-Hop
2017 Q2,Emo Rap,Rap/Hip-Hop,3259766,598176,2.6,372182,4.4,3259766,true,Hip-Hop
2017 Q2,Featuring,Other,1631150,598176,2.6,372182,4.4,1631150,true,Hip-Hop
2017 Q2,Female Vocalists,Chill,1447924,598176,2.6,372182,4.4,1447924,true,Hip-Hop
2017 Q2,Folk,Folk,1039099,598176,2.6,372182,4.4,1039099,true,Hip-Hop
2017 Q2,Folk Pop,Folk,615930,598176,2.6,372182,4.4,615930,true,Hip-Hop
2017 Q2,French House,Dance/House,16345512,598176,2.6,372182,4.4,16345512,true,Hip-Hop
2017 Q2,Funk,Funk,863300,598176,2.6,372182,4.4,863300,true,Hip-Hop
2017 Q2,Future Bass,Electronic,1555573,598176,2.6,372182,4.4,1555573,true,Hip-Hop
2017 Q2,Garbage,Other,678536,598176,2.6,372182,4.4,678536,true,Hip-Hop
2017 Q2,Great Way To Start An Album,Other,1045262,598176,2.6,372182,4.4,1045262,true,Hip-Hop
2017 Q2,Grime,Electronic,71781678,598176,2.6,372182,4.4,71781678,true,Hip-Hop
2017 Q2,Hip-Hop,Rap/Hip-Hop,191979637,598176,2.6,372182,4.4,191979637,true,Hip-Hop
2017 Q2,House,Dance/House,90313076,598176,2.6,372182,4.4,90313076,true,Hip-Hop
2017 Q2,Hyphy,Rap/Hip-Hop,579935,598176,2.6,372182,4.4,579935,true,Hip-Hop
2017 Q2,Indie,Indie,51099508,598176,2.6,372182,4.4,51099508,true,Hip-Hop
2017 Q2,Indie Pop,Pop,20025282,598176,2.6,372182,4.4,20025282,true,Hip-Hop
2017 Q2,Indie Rock,Indie,5350173,598176,2.6,372182,4.4,5350173,true,Hip-Hop
2017 Q2,Latin,Latin,51463205,598176,2.6,372182,4.4,51463205,true,Hip-Hop
2017 Q2,Latin Pop,Latin,858146,598176,2.6,372182,4.4,858146,true,Hip-Hop
2017 Q2,Lo-Fi,Other,4097159,598176,2.6,372182,4.4,4097159,true,Hip-Hop
2017 Q2,Love At First Listen,Other,345186,598176,2.6,372182,4.4,345186,true,Hip-Hop
2017 Q2,Melodic Rap,Rap/Hip-Hop,12084140,598176,2.6,372182,4.4,12084140,true,Hip-Hop
2017 Q2,Modern Rock,Rock/Punk/Metal,1277870,598176,2.6,372182,4.4,1277870,true,Hip-Hop
2017 Q2,Moombahton,Electronic,20931855,598176,2.6,372182,4.4,20931855,true,Hip-Hop
2017 Q2,Party,Other,5014839,598176,2.6,372182,4.4,5014839,true,Hip-Hop
2017 Q2,Pop,Pop,51113015,598176,2.6,372182,4.4,51113015,true,Hip-Hop
2017 Q2,Pop Punk,Rock/Punk/Metal,10407758,598176,2.6,372182,4.4,10407758,true,Hip-Hop
2017 Q2,Pop-Rock,Pop,10835682,598176,2.6,372182,4.4,10835682,true,Hip-Hop
2017 Q2,Progressive Rock,Rock/Punk/Metal,2733654,598176,2.6,372182,4.4,2733654,true,Hip-Hop
2017 Q2,Psychedelic Soul,Soul,7783599,598176,2.6,372182,4.4,7783599,true,Hip-Hop
2017 Q2,Rage Rap,Rap/Hip-Hop,889186,598176,2.6,372182,4.4,889186,true,Hip-Hop
2017 Q2,Reggae,Reggae,6223475,598176,2.6,372182,4.4,6223475,true,Hip-Hop
2017 Q2,Rock,Rock/Punk/Metal,10899498,598176,2.6,372182,4.4,10899498,true,Hip-Hop
2017 Q2,Rock & Roll,Rock & Roll,2690831,598176,2.6,372182,4.4,2690831,true,Hip-Hop
2017 Q2,Saxophone,Other,4537528,598176,2.6,372182,4.4,4537528,true,Hip-Hop
2017 Q2,Sexy,Other,1412577,598176,2.6,372182,4.4,1412577,true,Hip-Hop
2017 Q2,Soft Pop,Pop,101187019,598176,2.6,372182,4.4,101187019,true,Hip-Hop
2017 Q2,Soft Rock,Rock/Punk/Metal,278344,598176,2.6,372182,4.4,278344,true,Hip-Hop
2017 Q2,Soul,Soul,6399989,598176,2.6,372182,4.4,6399989,true,Hip-Hop
2017 Q2,Soundtrack,Soundtrack,7149987,598176,2.6,372182,4.4,7149987,true,Hip-Hop
2017 Q2,Swedish,Other,282657,598176,2.6,372182,4.4,282657,true,Hip-Hop
2017 Q2,Synthpop,Pop,1653194,598176,2.6,372182,4.4,1653194,true,Hip-Hop
2017 Q2,Trap,Rap/Hip-Hop,11276892,598176,2.6,372182,4.4,11276892,true,Hip-Hop
2017 Q2,Trip-Hop,Electronic,282338,598176,2.6,372182,4.4,282338,true,Hip-Hop
2017 Q2,Tropical House,Dance/House,28451601,598176,2.6,372182,4.4,28451601,true,Hip-Hop
2017 Q2,Wizkid,Afrobeats,1189709,598176,2.6,372182,4.4,1189709,true,Hip-Hop
2017 Q3,Afrobeats,Afrobeats,2470537,601961,2.7,374572,4.3,2470537,true,Hip-Hop
2017 Q3,Afroswing,Afrobeats,11714319,601961,2.7,374572,4.3,11714319,true,Hip-Hop
2017 Q3,Alternative,Alternative,1260401,601961,2.7,374572,4.3,1260401,true,Hip-Hop
2017 Q3,Alternative Rock,Alternative,27958826,601961,2.7,374572,4.3,27958826,true,Hip-Hop
2017 Q3,Art Pop,Pop,597356,601961,2.7,374572,4.3,597356,true,Hip-Hop
2017 Q3,Baroque Pop,Pop,2886736,601961,2.7,374572,4.3,2886736,true,Hip-Hop
2017 Q3,Britpop,Pop,11137916,601961,2.7,374572,4.3,11137916,true,Hip-Hop
2017 Q3,Chamber Pop,Pop,639443,601961,2.7,374572,4.3,639443,true,Hip-Hop
2017 Q3,Classic Rock,Rock/Punk/Metal,1036092,601961,2.7,374572,4.3,1036092,true,Hip-Hop
2017 Q3,Comedy,Other,707698,601961,2.7,374572,4.3,707698,true,Hip-Hop
2017 Q3,Country,Country,8342783,601961,2.7,374572,4.3,8342783,true,Hip-Hop
2017 Q3,Country Pop,Country,328874,601961,2.7,374572,4.3,328874,true,Hip-Hop
2017 Q3,Dance,Dance/House,58537152,601961,2.7,374572,4.3,58537152,true,Hip-Hop
2017 Q3,Dancehall,Reggae,3907809,601961,2.7,374572,4.3,3907809,true,Hip-Hop
2017 Q3,Dance-Pop,Dance/House,5679980,601961,2.7,374572,4.3,5679980,true,Hip-Hop
2017 Q3,Deep House,Dance/House,555260,601961,2.7,374572,4.3,555260,true,Hip-Hop
2017 Q3,Disco,Disco,1351146,601961,2.7,374572,4.3,1351146,true,Hip-Hop
2017 Q3,Dubstep,Electronic,4130003,601961,2.7,374572,4.3,4130003,true,Hip-Hop
2017 Q3,Electro House,Dance/House,4759385,601961,2.7,374572,4.3,4759385,true,Hip-Hop
2017 Q3,Electro Pop,Electronic,21282517,601961,2.7,374572,4.3,21282517,true,Hip-Hop
2017 Q3,Electronic,Electronic,53897929,601961,2.7,374572,4.3,53897929,true,Hip-Hop
2017 Q3,Emo Rap,Rap/Hip-Hop,9133607,601961,2.7,374572,4.3,9133607,true,Hip-Hop
2017 Q3,Featuring,Other,1696070,601961,2.7,374572,4.3,1696070,true,Hip-Hop
